,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,pangnirtung,90,CA,1619715828,86,66.1451,-65.7125,30.2,2.3
1,arraial do cabo,40,BR,1619715553,46,-22.8362,-46.646,75.99,13.8
2,mar del plata,75,ES,1619715544,76,43.4002,-4.0094,54,2.3
3,rikitea,94,PF,1619715829,69,-23.1203,-134.9692,75.74,9.24
4,dubrovytsya,100,UA,1619715617,76,51.5744,26.565,53.06,5.95
5,shebunino,98,RU,1619715617,85,46.4339,141.8603,40.01,5.57
6,leh,76,IN,1619715275,41,34.1667,77.5833,41.5,2.8
7,pevek,100,RU,1619715830,95,69.7008,170.3133,17.58,8.52
8,manutuke,3,NZ,1619715619,94,-38.6833,177.9167,44.01,1.99
9,noormarkku,0,FI,1619715619,60,61.5927,21.8685,39.2,10.36
10,puerto escondido,20,ES,1619715620,48,36.5939,-6.233,69.8,11.5
11,tilichiki,100,RU,1619715282,98,60.4667,166.1,30.4,1.68
12,nikolskoye,0,RU,1619715831,31,59.7035,30.7861,44.6,6.71
13,albany,100,US,1619715831,90,42.6001,-73.9662,57,1.57
14,bambous virieux,75,MU,1619715622,88,-20.2567,57.4061,77,13.8
15,barrow,90,US,1619715832,86,71.2906,-156.7887,19.4,8.05
16,new norfolk,40,LR,1619715514,66,6.6518,-10.5932,89.6,12.66
17,wewak,38,PG,1619715833,86,-3.5534,143.6268,78.6,8.43
18,kodiak,90,US,1619715834,87,57.79,-152.4072,39.2,4.61
19,provideniya,99,RU,1619715834,68,64.3833,-173.3,29.75,2.44
20,cerkezkoy,0,TR,1619715623,77,41.285,28.0003,62.6,4.61
21,ushuaia,20,AR,1619715835,56,-54.8,-68.3,42.8,6.91
22,saldanha,0,ZA,1619715835,52,-33.0117,17.9442,64.4,18.41
23,cape town,0,CL,1619715557,77,-36.413,-71.9028,59,4.61
24,touros,40,BR,1619715625,62,-5.1989,-35.4608,86,14.97
25,alice springs,90,US,1619715491,94,27.7523,-98.0697,75.2,11.5
26,narwar,56,IN,1619715626,11,25.65,77.9,92.25,4.32
27,vaini,90,TO,1619715837,94,-21.2,-175.2,77,5.75
28,bluff,100,NZ,1619715837,95,-46.6,168.3333,53.01,11.99
29,constitucion,93,CL,1619715838,56,-35.3333,-72.4167,64.22,4.16
30,bluefield,1,US,1619715627,56,37.2698,-81.2223,71.01,19.57
31,kushima,24,JP,1619715628,87,31.4583,131.2333,57.24,5.79
32,olinda,40,BR,1619715335,69,-8.0089,-34.8553,82.4,14.97
33,saint-philippe,20,RE,1619715839,83,-21.3585,55.7679,77,6.91
34,santiago tuxtla,2,CL,1619715364,42,-33.4569,-70.6483,73,4.61
35,hermanus,83,ZA,1619715840,76,-34.4187,19.2345,57.99,8.19
36,waddan,86,LY,1619715630,6,29.1614,16.139,98.92,7.38
37,yar-sale,100,RU,1619715292,94,66.8333,70.8333,23.31,7.58
38,shingu,79,JP,1619715631,89,33.7333,135.9833,53.22,6.85
39,tagusao,17,PH,1619715632,81,9.1924,117.8141,79.43,4.14
40,samarai,63,PG,1619715633,79,-10.6167,150.6667,78.98,6.73
